▶ skipping venv without pytest: /c/Users/given/hermes-audit/hermes-agent/.venv
▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
▶ pre-compiling bytecode cache
▶ launching test runner
Discovered 3152 test files (~31960 tests) under ['tests']; running with -j 32
[  0.0% |     3/~31960 | ✓3 | ✗0] ✓ tests\acp\test_auth.py (3✓, 12.9s)
[  0.7% |   224/~31960 | ✓218 | ✗  0] ✓ tests\agent\test_anthropic_oauth_ua_prefix.py (2✓, 15.3s)
[  0.7% |   231/~31960 | ✓228 | ✗  0] ✓ tests\agent\test_anthropic_whitespace_text_blocks.py (10✓, 14.9s)
[  0.7% |   235/~31960 | ✓232 | ✗  0] ✓ tests\agent\lsp\test_diagnostics_field.py (4✓, 36.9s)
[  0.7% |   237/~31960 | ✓234 | ✗  0] ✓ tests\agent\test_auxiliary_client_ssl_verify.py (2✓, 12.0s)
[  0.8% |   243/~31960 | ✓240 | ✗  0] ✓ tests\agent\test_anthropic_request_client_reuse.py (6✓, 20.1s)
[  0.8% |   248/~31960 | ✓245 | ✗  0] ✓ tests\agent\test_auxiliary_client_resolve_dedup.py (5✓, 12.8s)
[  0.8% |   255/~31960 | ✓266 | ✗  0] ✓ tests\agent\test_arcee_trinity_overrides.py (21✓, 19.5s)
[  0.8% |   264/~31960 | ✓275 | ✗  0] ✓ tests\agent\test_auxiliary_client_xai_oauth_recovery.py (9✓, 12.1s)
[  0.8% |   266/~31960 | ✓277 | ✗  0] ✓ tests\agent\test_auxiliary_client_proxy_env.py (2✓, 14.1s)
[  0.9% |   273/~31960 | ✓284 | ✗  0] ✓ tests\agent\test_auxiliary_client_base_url_host_validation_52608.py (7✓, 15.2s)
[  0.9% |   289/~31960 | ✓300 | ✗  0] ✓ tests\agent\test_aux_progress_streaming.py (16✓, 19.7s)
[  0.9% |   291/~31960 | ✓302 | ✗  0] ✓ tests\agent\test_auxiliary_transient_retry.py (2✓, 9.4s)
[  0.9% |   293/~31960 | ✓304 | ✗  0] ✓ tests\agent\test_auxiliary_client_bootstrap_skew.py (2✓, 16.7s)
[  1.0% |   304/~31960 | ✓315 | ✗  0] ✓ tests\agent\test_auxiliary_config_bridge.py (11✓, 15.1s)
[  1.0% |   316/~31960 | ✓328 | ✗  0] ✓ tests\agent\test_auxiliary_explicit_cancellation.py (13✓, 14.4s)
[  1.0% |   321/~31960 | ✓333 | ✗  0] ✓ tests\agent\test_auxiliary_runtime_cache_key.py (5✓, 12.4s)
[  1.0% |   326/~31960 | ✓340 | ✗  0] ✓ tests\agent\lsp\test_shell_linter_lsp_skip.py (7✓, 31.1s)
[  1.1% |   345/~31960 | ✓356 | ✗  0] ✓ tests\acp\test_session.py (16✓ 3s, 45.3s)
[  1.1% |   350/~31960 | ✓361 | ✗  0] ✓ tests\agent\test_auxiliary_compression_timeout_floor.py (5✓, 19.0s)
[  1.1% |   357/~31960 | ✓368 | ✗  0] ✓ tests\agent\test_auxiliary_relay.py (7✓, 15.5s)
[  1.1% |   360/~31960 | ✓371 | ✗  0] ✓ tests\agent\test_auxiliary_client_anthropic_custom.py (3✓, 26.1s)
[  1.1% |   362/~31960 | ✓373 | ✗  0] ✓ tests\agent\test_bedrock_1m_context.py (2✓, 11.1s)
[  1.1% |   365/~31960 | ✓376 | ✗  0] ✓ tests\agent\test_bedrock_empty_text_blocks.py (3✓, 11.1s)
[  1.2% |   383/~31960 | ✓394 | ✗  0] ✓ tests\agent\test_auxiliary_concurrency.py (18✓, 22.8s)
[  1.2% |   386/~31960 | ✓397 | ✗  0] ✓ tests\agent\test_billing_links.py (3✓, 10.1s)
[  1.2% |   389/~31960 | ✓408 | ✗  0] ✓ tests\agent\test_battery.py (11✓, 12.8s)
[  1.3% |   404/~31960 | ✓423 | ✗  0] ✓ tests\agent\test_backend_identity.py (15✓, 14.1s)
[  1.3% |   406/~31960 | ✓425 | ✗  0] ✓ tests\agent\test_bedrock_interrupt_post_worker.py (2✓, 12.0s)
[  1.3% |   409/~31960 | ✓433 | ✗  0] ✓ tests\agent\test_billing_usage.py (8✓, 11.7s)
[  1.6% |   504/~31960 | ✓527 | ✗  0] ✓ tests\agent\test_anthropic_adapter.py (94✓ 1s, 39.6s)
[  1.6% |   510/~31960 | ✓533 | ✗  0] ✓ tests\agent\test_bot_profile_prompt_isolation.py (6✓, 12.8s)
[  1.7% |   529/~31960 | ✓552 | ✗  0] ✓ tests\agent\test_azure_identity_adapter.py (19✓, 23.5s)
[  1.7% |   537/~31960 | ✓560 | ✗  0] ✓ tests\agent\test_budget_reasoning_details_exclusion.py (8✓, 12.5s)
[  1.7% |   539/~31960 | ✓562 | ✗  0] ✓ tests\agent\test_chat_completion_helpers_provider_sort.py (2✓, 9.1s)
[  1.7% |   542/~31960 | ✓565 | ✗  0] ✓ tests\agent\test_close_interrupted_tool_sequence.py (3✓, 9.0s)
[  1.7% |   545/~31960 | ✓568 | ✗  0] ✓ tests\agent\test_cjk_token_estimation.py (3✓, 9.4s)
[  1.7% |   547/~31960 | ✓570 | ✗  0] ✓ tests\agent\test_cascading_interrupt_6600.py (2✓, 13.2s)
[  1.8% |   560/~31960 | ✓583 | ✗  0] ✓ tests\agent\test_cache_disabled_on_stubs.py (13✓, 15.9s)
[  1.8% |   562/~31960 | ✓585 | ✗  0] ✓ tests\agent\test_bounded_response.py (2✓, 18.0s)
[  1.8% |   564/~31960 | ✓587 | ✗  0] ✓ tests\agent\test_codex_runtime_live_events.py (2✓, 8.7s)
[  1.8% |   577/~31960 | ✓600 | ✗  0] ✓ tests\agent\test_canon_args_memo_parity.py (13✓, 16.4s)
[  1.8% |   583/~31960 | ✓606 | ✗  0] ✓ tests\agent\test_billing_unverified_carrythrough.py (6✓, 21.8s)
[  1.8% |   586/~31960 | ✓622 | ✗  0] ✓ tests\agent\test_auxiliary_transport_autodetect.py (16✓, 31.0s)
[  1.9% |   598/~31960 | ✓648 | ✗  0] ✓ tests\agent\test_billing_view.py (26✓, 22.1s)
[  1.9% |   600/~31960 | ✓650 | ✗  0] ✓ tests\agent\test_codex_request_transport_diagnostics.py (2✓, 13.2s)
[  1.9% |   605/~31960 | ✓655 | ✗  0] ✓ tests\agent\test_auxiliary_user_default_headers.py (5✓, 34.7s)
[  1.9% |   609/~31960 | ✓659 | ✗  0] ✓ tests\agent\test_auxiliary_explicit_base_anthropic.py (4✓, 40.5s)
[  2.0% |   627/~31960 | ✓677 | ✗  0] ✓ tests\agent\test_codex_app_server_event_bridge.py (18✓, 17.8s)
[  2.0% |   637/~31960 | ✓687 | ✗  0] ✓ tests\agent\test_background_review_usage.py (10✓, 30.5s)
[  2.0% |   654/~31960 | ✓704 | ✗  0] ✓ tests\agent\test_auxiliary_main_first.py (17✓, 39.8s)
[  2.1% |   670/~31960 | ✓720 | ✗  0] ✓ tests\agent\test_codex_responses_adapter.py (16✓, 16.2s)
[  2.1% |   671/~31960 | ✓721 | ✗  0] ✓ tests\agent\test_compress_signal_leak.py (1✓, 8.3s)
[  2.2% |   702/~31960 | ✓752 | ✗  0] ✓ tests\agent\test_bedrock_integration.py (31✓, 31.5s)
[  2.2% |   709/~31960 | ✓759 | ✗  0] ✓ tests\agent\test_auxiliary_client_azure_foundry.py (7✓, 48.2s)
[  2.2% |   711/~31960 | ✓761 | ✗  0] ✓ tests\agent\test_compress_focus.py (2✓, 12.8s)
[  2.2% |   718/~31960 | ✓768 | ✗  0] ✓ tests\agent\test_compaction_anti_thrash.py (7✓, 16.8s)
[  2.3% |   720/~31960 | ✓770 | ✗  0] ✓ tests\agent\test_compression_attempt_telemetry.py (2✓, 13.5s)
[  2.3% |   728/~31960 | ✓778 | ✗  0] ✓ tests\agent\test_compaction_redaction_boundaries.py (8✓, 19.5s)
[  2.5% |   794/~31960 | ✓844 | ✗  0] ✓ tests\agent\test_bedrock_adapter.py (66✓, 40.5s)
[  2.5% |   809/~31960 | ✓859 | ✗  0] ✓ tests\agent\test_compress_context_progress_timeout.py (15✓, 21.0s)
[  2.5% |   813/~31960 | ✓863 | ✗  0] ✓ tests\agent\test_compression_anti_thrash_recovery.py (4✓, 18.1s)
[  2.6% |   818/~31960 | ✓868 | ✗  0] ✓ tests\agent\test_compression_progress.py (5✓, 13.6s)
[  2.7% |   848/~31960 | ✓898 | ✗  0] ✓ tests\acp\test_server.py (30✓, 83.2s)
[  2.7% |   854/~31960 | ✓904 | ✗  0] ✓ tests\agent\test_codex_app_server_persist.py (6✓, 34.8s)
[  2.7% |   857/~31960 | ✓907 | ✗  0] ✓ tests\agent\test_compression_fallback_budget.py (3✓, 18.2s)
[  2.7% |   866/~31960 | ✓916 | ✗  0] ✓ tests\agent\test_compressed_summary_metadata.py (9✓, 26.3s)
[  2.7% |   869/~31960 | ✓919 | ✗  0] ✓ tests\agent\test_compressor_actionable_tail_anchor.py (3✓, 14.5s)
[  2.7% |   873/~31960 | ✓923 | ✗  0] ✓ tests\agent\test_compressor_image_tokens.py (4✓, 12.8s)
[  2.8% |   880/~31960 | ✓930 | ✗  0] ✓ tests\agent\test_compression_small_ctx_threshold_floor.py (7✓, 19.8s)
[  2.8% |   883/~31960 | ✓933 | ✗  0] ✓ tests\agent\test_compressor_media_stripping.py (3✓, 13.1s)
[  2.8% |   885/~31960 | ✓935 | ✗  0] ✓ tests\agent\test_compression_orphan_recovery.py (2✓, 24.7s)
[  2.8% |   892/~31960 | ✓942 | ✗  0] ✓ tests\agent\test_compression_interrupt_protection.py (7✓, 27.8s)
[  2.8% |   896/~31960 | ✓946 | ✗  0] ✓ tests\agent\test_codex_gpt55_autoraise_notice.py (4✓, 44.2s)
[  2.8% |   899/~31960 | ✓949 | ✗  0] ✓ tests\agent\test_compressor_tool_call_budget.py (3✓, 14.3s)
[  2.8% |   902/~31960 | ✓952 | ✗  0] ✓ tests\agent\test_compressor_tail_cut_tool_pair_floor.py (3✓, 15.4s)
[  2.9% |   912/~31960 | ✓962 | ✗  0] ✓ tests\agent\test_compressor_historical_media.py (10✓, 20.9s)
[  2.9% |   916/~31960 | ✓966 | ✗  0] ✓ tests\agent\test_context_breakdown.py (4✓, 13.8s)
[  2.9% |   924/~31960 | ✓974 | ✗  0] ✓ tests\agent\test_compressor_tail_cut_oob_fix.py (8✓, 19.0s)
[  2.9% |   941/~31960 | ✓991 | ✗  0] ✓ tests\agent\test_compressor_assistant_tail_anchor.py (17✓, 23.5s)
[  3.0% |   948/~31960 | ✓998 | ✗  0] ✓ tests\agent\test_codex_cloudflare_headers.py (7✓, 50.2s)
[  3.0% |   951/~31960 | ✓1001 | ✗   0] ✓ tests\agent\test_context_compressor_cross_session_guard.py (3✓, 13.2s)
[  3.0% |   955/~31960 | ✓1005 | ✗   0] ✓ tests\agent\test_context_compressor_session_end_clears_state.py (4✓, 11.2s)
[  3.0% |   961/~31960 | ✓1011 | ✗   0] ✓ tests\agent\test_compressor_zero_user_guard.py (6✓, 19.7s)
[  3.0% |   966/~31960 | ✓1016 | ✗   0] ✓ tests\agent\test_context_diagnostics.py (5✓, 13.0s)
[  3.0% |   968/~31960 | ✓1018 | ✗   0] ✓ tests\agent\test_context_compressor_temporal_anchoring.py (2✓, 16.9s)
[  3.0% |   970/~31960 | ✓1020 | ✗   0] ✓ tests\agent\test_context_refs_concurrent.py (2✓, 11.1s)
[  3.0% |   971/~31960 | ✓1021 | ✗   0] ✓ tests\agent\test_compression_logging_session_context.py (1✓, 44.1s)
[  3.1% |   977/~31960 | ✓1027 | ✗   0] ✓ tests\agent\test_context_engine_select_context.py (6✓, 13.1s)
[  3.1% |   981/~31960 | ✓1031 | ✗   0] ✓ tests\agent\test_context_route_mismatch.py (4✓, 12.6s)
[  3.1% |   984/~31960 | ✓1034 | ✗   0] ✓ tests\agent\test_context_engine_on_turn_complete_usage.py (3✓, 15.4s)
[  3.1% |   986/~31960 | ✓1036 | ✗   0] ✓ tests\agent\test_credential_pool_deferred_refresh.py (2✓, 9.5s)
[  3.1% |  1000/~31960 | ✓1050 | ✗   0] ✓ tests\agent\test_context_engine.py (14✓, 18.9s)
[  3.1% |  1002/~31960 | ✓1052 | ✗   0] ✓ tests\agent\test_credential_pool_key_rotation.py (2✓, 7.7s)
[  3.2% |  1011/~31960 | ✓1061 | ✗   0] ✓ tests\agent\test_context_compressor_summary_continuity.py (9✓, 24.2s)
[  3.2% |  1014/~31960 | ✓1064 | ✗   0] ✓ tests\agent\test_credential_pool_lease_refresh_reselect.py (3✓, 7.4s)
[  3.2% |  1018/~31960 | ✓1068 | ✗   0] ✓ tests\agent\test_context_engine_host_contract.py (4✓, 19.1s)
[  3.2% |  1030/~31960 | ✓1080 | ✗   0] ✓ tests\agent\test_copilot_acp_client.py (12✓, 16.6s)
[  3.2% |  1032/~31960 | ✓1082 | ✗   0] ✓ tests\agent\test_compression_count_warning_36908.py (2✓, 52.8s)
[  3.2% |  1038/~31960 | ✓1096 | ✗   0] ✓ tests\agent\test_copilot_acp_deprecation.py (14✓, 16.5s)
[  3.3% |  1046/~31960 | ✓1104 | ✗   0] ✓ tests\agent\test_compression_anti_thrash_persistence.py (8✓, 57.2s)
[  3.3% |  1052/~31960 | ✓1112 | ✗   0] ✓ tests\agent\test_codex_ttfb_watchdog.py (8✓, 64.4s)
[  3.3% |  1054/~31960 | ✓1114 | ✗   0] ✓ tests\agent\test_credential_pool_oat_authtype.py (2✓, 8.7s)
[  3.3% |  1057/~31960 | ✓1117 | ✗   0] ✓ tests\agent\test_credential_pool_no_entries_log_throttle.py (3✓, 10.2s)
[  3.3% |  1060/~31960 | ✓1120 | ✗   0] ✓ tests\agent\test_credential_pool_quarantine_locking.py (3✓, 8.7s)
[  3.3% |  1069/~31960 | ✓1130 | ✗   0] ✓ tests\agent\test_compression_review_76354.py (10✓, 52.2s)
[  3.4% |  1084/~31960 | ✓1145 | ✗   0] ✓ tests\agent\test_async_token_accounting.py (15✓, 103.3s)
[  3.4% |  1087/~31960 | ✓1148 | ✗   0] ✓ tests\agent\test_credential_pool_oauth_writethrough.py (3✓, 12.1s)
[  3.4% |  1090/~31960 | ✓1151 | ✗   0] ✓ tests\agent\test_compression_max_attempts_config.py (3✓, 57.2s)
[  3.4% |  1095/~31960 | ✓1156 | ✗   0] ✓ tests\agent\test_credits_cold_start.py (5✓, 8.6s)
[  3.4% |  1097/~31960 | ✓1158 | ✗   0] ✓ tests\agent\test_credential_pool_unmatched_rotation_bound.py (2✓, 9.6s)
[  3.4% |  1100/~31960 | ✓1161 | ✗   0] ✓ tests\agent\test_credential_pool_provider_boundary.py (3✓, 13.2s)
[  3.4% |  1102/~31960 | ✓1163 | ✗   0] ✓ tests\agent\test_credits_fixture_snapshot.py (2✓, 9.8s)
[  3.5% |  1105/~31960 | ✓1166 | ✗   0] ✓ tests\agent\test_credits_view.py (3✓, 11.0s)
[  3.5% |  1107/~31960 | ✓1168 | ✗   0] ✓ tests\agent\test_crossloop_client_cache.py (2✓, 9.3s)
[  3.5% |  1115/~31960 | ✓1181 | ✗   0] ✓ tests\agent\test_context_references.py (13✓, 30.8s)
[  3.5% |  1116/~31960 | ✓1182 | ✗   0] ✓ tests\agent\test_curator_activity.py (1✓, 9.8s)
[  3.5% |  1127/~31960 | ✓1193 | ✗   0] ✓ tests\agent\test_credential_pool_sole_cooldown.py (11✓, 17.0s)
[  3.5% |  1129/~31960 | ✓1195 | ✗   0] ✓ tests\agent\test_cron_inline_api_call_62151.py (2✓, 13.9s)
[  3.5% |  1131/~31960 | ✓1197 | ✗   0] ✓ tests\agent\test_custom_provider_extra_body.py (2✓, 8.8s)
[  3.5% |  1134/~31960 | ✓1200 | ✗   0] ✓ tests\agent\test_curator_reports.py (3✓, 11.8s)
[  3.6% |  1139/~31960 | ✓1205 | ✗   0] ✓ tests\agent\test_custom_provider_extra_body_matching.py (5✓, 10.1s)
[  3.6% |  1144/~31960 | ✓1210 | ✗   0] ✓ tests\agent\test_custom_providers_vision.py (5✓, 9.9s)
[  3.6% |  1146/~31960 | ✓1212 | ✗   0] ✓ tests\agent\test_deepseek_anthropic_thinking.py (2✓, 7.7s)
[  3.6% |  1149/~31960 | ✓1215 | ✗   0] ✓ tests\agent\test_cursor_optimizations_parity.py (3✓, 14.2s)
[  3.7% |  1178/~31960 | ✓1240 | ✗   4] ✗ tests\agent\test_command_token_source.py (25✓ 4✗, 80.2s)

  ╔╍ Failed: tests\agent\test_command_token_source.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║         except OSError as exc:
  ║             raise CommandTokenError(
  ║                 f"key_cmd for provider {label!r} could not be executed: {exc}"
  ║             ) from exc
  ║     
  ║         if completed.returncode != 0:
  ║             # NEVER include stdout/stderr: a partially-successful auth helper can
  ║             # print a token or refresh secret there. The command STRING is also
  ║             # withheld — a key_cmd can legitimately embed a secret
  ║             # (`print-token --client-secret=…`), so echoing it back would leak the
  ║             # very credential this module exists to protect. Name the provider so
  ║             # the user knows which config entry to run by hand.
  ║             raise CommandTokenError(
  ║                 f"key_cmd for provider {label!r} exited {completed.returncode}. "
  ║                 f"Run that provider's key_cmd manually to see why "
  ║                 f"(e.g. `databricks auth login` if its OAuth session expired)."
  ║             )
  ║     
  ║         stdout = completed.stdout or ""
  ║         if not stdout.strip():
  ║ >           raise CommandTokenError(f"key_cmd for provider {label!r} produced no output")
  ║ E           agent.command_token_source.CommandTokenError: key_cmd for provider 'p' produced no output
  ║ 
  ║ agent\command_token_source.py:149: CommandTokenError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/agent/test_command_token_source.py::TestCaching::test_token_is_cached_between_calls
  ║ FAILED tests/agent/test_command_token_source.py::TestCaching::test_expired_token_is_reminted
  ║ FAILED tests/agent/test_command_token_source.py::TestCaching::test_no_advertised_ttl_caches_on_a_bounded_window
  ║ FAILED tests/agent/test_command_token_source.py::TestAbsoluteExpiry::test_the_token_actually_gets_re_minted
  ║ ======================== 4 failed, 25 passed in 31.20s ========================
  ║
  ║  Repro: python -m pytest tests\agent\test_command_token_source.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[  3.7% |  1191/~31960 | ✓1253 | ✗   4] ✓ tests\agent\test_curator_classification.py (13✓, 15.5s)
[  3.7% |  1193/~31960 | ✓1255 | ✗   4] ✓ tests\agent\test_custom_pool_mismatch_guard.py (2✓, 13.5s)
[  3.7% |  1197/~31960 | ✓1259 | ✗   4] ✓ tests\agent\test_display_emoji.py (4✓, 8.0s)
[  3.8% |  1229/~31960 | ✓1291 | ✗   4] ✓ tests\agent\test_credits_policy.py (32✓, 21.4s)
[  3.9% |  1246/~31960 | ✓1308 | ✗   4] ✓ tests\agent\test_credential_pool_routing.py (17✓, 25.5s)
[  3.9% |  1249/~31960 | ✓1311 | ✗   4] ✓ tests\agent\test_compression_worker_isolation_76354.py (3✓, 68.8s)
[  3.9% |  1251/~31960 | ✓1313 | ✗   4] ✓ tests\agent\test_direct_provider_url_detection.py (2✓, 12.2s)
[  3.9% |  1262/~31960 | ✓1324 | ✗   4] ✓ tests\agent\test_display_tool_failure.py (11✓, 10.5s)
[  4.0% |  1275/~31960 | ✓1337 | ✗   4] ✓ tests\agent\test_display_todo_progress.py (13✓, 11.0s)
[  4.0% |  1294/~31960 | ✓1356 | ✗   4] ✓ tests\agent\test_custom_provider_ca_probes.py (19✓, 18.1s)
[  4.2% |  1345/~31960 | ✓1407 | ✗   4] ✓ tests\agent\test_credits_tracker.py (51✓, 26.9s)
[  4.3% |  1368/~31960 | ✓1430 | ✗   4] ✓ tests\agent\test_display.py (23✓, 15.4s)
[  4.3% |  1370/~31960 | ✓1434 | ✗   4] ✓ tests\agent\test_compression_adoption_preserves_live_tail.py (4✓, 83.4s)
[  4.3% |  1378/~31960 | ✓1449 | ✗   4] ✓ tests\agent\test_context_compressor_zero_user_provenance.py (15✓, 52.7s)
[  4.3% |  1380/~31960 | ✓1451 | ✗   4] ✓ tests\agent\test_external_skills_dirs_cache.py (2✓, 10.5s)
[  4.5% |  1425/~31960 | ✓1492 | ✗   4] ✓ tests\agent\test_deadline.py (41✓ 4s, 22.0s)
[  4.5% |  1430/~31960 | ✓1498 | ✗   4] ✓ tests\agent\test_file_safety_container_mirror.py (6✓, 10.8s)
[  4.5% |  1442/~31960 | ✓1510 | ✗   4] ✓ tests\agent\test_curator_backup.py (12✓, 28.7s)
[  4.5% |  1448/~31960 | ✓1516 | ✗   4] ✓ tests\agent\test_external_skills.py (6✓, 12.8s)
[  4.6% |  1470/~31960 | ✓1538 | ✗   4] ✓ tests\agent\test_endpoint_blackhole.py (22✓, 15.7s)
[  4.6% |  1481/~31960 | ✓1549 | ✗   4] ✓ tests\agent\test_failover_identity.py (11✓, 14.1s)
[  4.7% |  1514/~31960 | ✓1582 | ✗   4] ✓ tests\agent\test_empty_response_guard.py (33✓, 18.8s)
[  4.7% |  1517/~31960 | ✓1585 | ✗   4] ✓ tests\agent\test_engine_preflight_wire.py (3✓, 17.0s)
[  4.8% |  1524/~31960 | ✓1601 | ✗   4] ✓ tests\agent\test_file_safety.py (16✓, 16.5s)
[  4.8% |  1533/~31960 | ✓1610 | ✗   4] ✓ tests\agent\test_file_safety_credentials.py (9✓, 14.5s)
[  4.8% |  1539/~31960 | ✓1618 | ✗   4] ✓ tests\agent\test_file_safety_sandbox_mirror.py (8✓, 14.2s)
[  4.8% |  1547/~31960 | ✓1626 | ✗   4] ✓ tests\agent\test_gateway_turn_sidecar.py (8✓, 13.7s)
